porosity£¨%£©,ED£¨gm/cc£©,LD£¨g/cm3£©,AOP£¨mm£©,S(%),Fe(%),Mn(%),FSP(cm),FT(cm),high(cm),C/N,NH3-Ninf(mg/L),TNinf(mg/L),T(¡æ),HRT£¨h£©,P£¨%£©,F£¨%£©,A£¨%£©,B£¨%£©,NH3-Nre(%),TNre(%)
44.04,4.14,4.36,20,36.18,0,0,37.5,55,65,1.76,40,45.95,25,72,60.59,1.39,14.58,10.4,98.6,43.6
36,3.42,3.47,20,32.86,0.31,0,35,50,60,3.49,13.33,13.57,21.9,20,79.02,2.16,1.69,1.89,77.58,48.61
36,3.42,3.47,20,32.86,0.31,0,35,50,60,3.49,13.33,13.57,21.9,20,83.61,3.75,12.94,0,58.74,56.28
47.2,3.42,3.47,20,32.86,0.31,0,35,50,60,2.48,18.15,20.93,21.9,20,65.54,3.73,2.23,4.17,96.33,54.16
47.2,3.42,3.47,20,32.86,0.31,0,35,50,60,2.48,18.15,20.93,21.9,20,81.83,3.15,12.94,0.64,87.81,45.96
45.3,2.67,2.64,24,50.27,0,0,50,80,90,10.52,14,21,25,48,35.66,3.7,12.94,8.61,83.33,84.5
43.51,2.34,2.33,10.7,53.86,1.24,0,60,80,100,5.98,6.44,9.4,25.5,216,35.66,3.7,12.94,8.61,83.7,59.6
43.51,2.34,2.33,10.7,53.86,1.24,0,60,80,100,5.98,6.44,9.4,25.5,216,35.66,3.7,12.94,8.61,79.4,57.3
43.51,2.34,2.33,10.7,53.86,1.24,0,60,80,100,5.98,6.44,9.4,25.5,216,35.66,3.7,12.94,8.61,69.7,48
43.51,2.34,2.33,10.7,53.86,1.24,0,60,80,100,5.98,6.44,9.4,25.5,216,35.66,3.7,12.94,8.61,57.6,63.4
43.51,2.34,2.33,10.7,53.86,1.24,0,60,80,100,5.98,6.44,9.4,25.5,216,35.66,3.7,12.94,8.61,50.2,58.6
43.51,2.34,2.33,10.7,53.86,1.24,0,60,80,100,5.98,6.44,9.4,25.5,216,35.66,3.7,12.94,8.61,36.1,49.1
46.4,2.19,2.17,3,54.16,1.86,0,22.5,35,40,0.55,286.26,412.84,23.95,168,60.59,1.39,14.58,10.4,95.72,97.7
43.81,2.19,2.69,20,49.41,0.4,0,37.5,25,25,6,33.96,33.96,25,5.76,67.88,15.03,1.5,13.68,34.09,26.02
43.81,2.71,2.69,20,49.41,0.4,0,37.5,25,25,3,34.04,34.04,25,5.76,44.91,6.98,0.98,29.78,42.54,26.95
43.81,2.71,2.69,20,49.41,0.4,0,37.5,25,25,1,33.65,33.65,25,5.76,42.87,4.95,1.46,31.28,49.41,33.69
43.81,2.71,2.69,20,49.41,0.4,0,42.5,75,80,5.34,50.16,55.58,25,72,62.11,2.04,19.33,9.2,98.2,91.61
43.6,2.71,2.7,20,49.29,0.46,0,42.5,75,80,5.34,50.16,55.58,25,72,25.27,9.94,12.94,5.97,89.87,84.1
43.6,2.71,2.7,35,49.29,0.46,0,50,60,80,8.42,29.9,39.6,25,67.2,25.27,9.94,12.94,5.97,28.5,33.6
44.4,2.69,2.67,35,49.75,0.22,0,40,60,70,8.42,29.9,39.6,25,76.8,39.83,15.67,20.4,9.41,47.5,47.2
44.9,2.68,2.65,35,50.04,0.11,0,40,60,70,8.42,29.9,39.6,25,110.4,25.27,9.94,12.94,5.97,60.6,55.6
45.3,2.67,2.64,35,50.27,0,0,40,60,70,8.42,29.9,39.6,25,108,25.27,9.94,12.94,5.97,66.5,61.9
59.45,3.34,3.41,35,41.52,0,0,30,60,60,8.42,29.9,39.6,25,74.4,79.02,2.16,1.69,1.89,69.9,62.3
60.84,3.25,3.3,3,41.74,0,0,15,30,33,3.31,9.5,29.1,24.7,24,57.45,2.13,2.13,10.64,74.74,94.1
43.74,2.71,2.7,3,49.37,0.42,0,15,30,33,3.31,9.5,29.1,24.7,24,46.81,2.13,2.13,12.77,61.05,70.86
43.74,2.71,2.7,35,49.37,0.42,0,35,65,70,2.96,23.2,24,30,24,41.89,1.9,1.9,11.42,48.3,39.2
43.74,2.71,2.7,35,49.37,0.42,0,35,65,70,2.96,23.2,24,30,24,41.89,1.9,1.9,11.42,47.4,39.6
43.13,2.47,2.46,35,52.51,0.93,0,35,65,70,2.96,23.2,24,30,24,66.8,0,12.94,7.6,46.1,40.4
43.6,2.71,2.7,1.5,49.29,0.46,0,30,20,55,2.55,26.03,39.84,28.3,72,50.82,2.07,1.34,14.48,55.07,67.57
43.6,2.71,2.7,13.5,49.29,0.46,0,40,30,80,4,2,12,28.3,72,22.22,6.21,31.68,3.99,86.92,3.42
43.6,2.71,2.7,13.5,46.15,0.21,0,40,30,80,2,2,12,28.3,72,35.1,0.82,30.63,4.12,93.22,3.73
45.3,2.67,2.64,30,45.92,0.19,0,40,60,80,8.03,8.83,18.92,21.68,60,39.76,3.56,3.04,15.82,79.18,57.75
45.29,2.67,2.64,12,45.69,0.17,0,22.5,25,55,3.35,7.98,19.65,26,72,39.76,3.56,3.04,15.82,88.75,47.56
45.27,2.68,2.65,12,45.46,0.15,0,22.5,25,55,3.35,7.98,19.65,26,72,40.67,1.22,1.49,10.36,99.6,52.69
44.63,2.61,2.59,12,45.23,0.13,0,22.5,25,55,3.35,7.98,19.65,26,72,33.48,2.48,1.56,13.63,100,59.8
43.6,2.71,2.7,3,45,0.1,0,50,70,100,2,5,25,20.5,48,28.21,8.51,24.61,8.24,60.3,80.54
43.6,2.71,2.7,3,44.76,0.08,0,18,36,36,4.18,8.94,16.35,25,168,25.27,9.94,12.94,5.97,98.1,20.14
54.4,4.84,5.01,3,44.53,0.06,0,18,36,36,4.18,8.94,16.35,25,168,66.8,4.95,12.94,7.6,98.66,65.7
54.4,4.84,5.01,12.5,44.3,0.04,0,35,70,120,3.69,4.7,10,23.95,72,58.99,4.69,12.94,6.71,83,78.9
54.4,4.84,5.01,12.5,53.45,46.55,0,35,70,120,2.85,7.4,19.6,23.95,72,45.59,4.11,12.94,5.19,67.2,59.7
45.08,2.71,2.71,12.5,0,0,0,35,70,120,3.69,4.7,10,23.95,72,83.43,6,27.15,9,85.8,75.2
45.08,2.71,2.71,12.5,0,0,0,35,70,120,2.85,7.4,19.6,23.95,72,85.43,8,29.15,11,68.7,48.3
45.3,2.67,2.64,5.5,0,0,0,45,58,80,3.08,31.9,31.9,24.7,72,23.7,0.4,15,15.7,73.25,78.36
45.6,4.24,4.47,2,0,0,0,30,40,60,1.24,20,40.4,25,120,60.59,1.39,14.58,10.4,79.1,78.63
43.6,2.71,2.7,2,0,0,0,30,40,60,1.24,20,40.4,23.95,120,46.81,2.13,2.13,12.77,91.7,88.88
46.12,2.24,2.22,20,0,0,0,27.5,45,60,4.87,40.94,82.22,23.95,48,46.81,2.13,2.13,12.77,67.83,79.94
46.4,2.19,2.17,20,0,0,0,27.5,45,60,4.87,40.94,82.22,23.95,48,46.81,2.13,2.13,12.77,72.69,82.67
46.4,2.19,2.17,5,0,0,0,10,25,30,5.86,33.3,35.2,23.95,144,36.55,1.73,4.93,6.53,76.07,61.31
46.4,2.19,2.17,5,0,0,0,10,25,30,5.86,33.3,35.2,23.95,96,31.79,2.55,4.1,8.5,69.01,54.36
37.74,2.65,2.65,5,0,0,0,10,25,30,5.86,33.3,35.2,23.95,96,32.53,0.92,4.4,5.2,60.75,46.95
37.74,2.65,2.65,3,0,0,0,10,20,30,2.31,78.8,85.2,18.7,168,53.97,15.85,2.45,1.82,58.15,55.96
37.74,2.65,2.65,3,0,0,0,10,20,30,4.83,79.8,86.7,18.7,168,53.97,15.85,2.45,1.82,74.27,72.76
37.74,2.65,2.65,3,0,0,0,10,20,30,2.31,78.8,85.2,7.2,168,49.55,10.14,5.08,3.34,55.05,54.1
37.74,2.65,2.65,3,0,0,0,10,20,30,4.83,79.8,86.7,7.2,168,53.97,15.85,2.45,1.82,70.56,64.76
54.4,4.84,5.01,4,53.45,46.55,0,60,10,70,3,5,25,30.5,24,66.8,4.88,0,7.6,86.16,39.21
40.96,2.65,2.65,4,0,0,0,60,10,70,3,5,25,29.75,24,46.44,28.64,10.23,7.37,78.42,51.93
54.4,4.84,5.01,4,53.45,46.55,0,60,10,70,3,5,25,29.75,24,66.8,6.11,12.94,7.6,27.62,45.45
40.96,2.65,2.65,4,0,0,0,60,10,70,3,5,25,26.5,24,46.44,28.64,10.23,7.37,21.82,57.46
54.4,4.84,5.01,4,53.45,46.55,0,60,10,70,3,5,25,30.5,24,66.8,0,12.94,7.6,10.72,14.07
40.96,2.65,2.65,4,0,0,0,60,10,70,3,5,25,29.75,24,46.44,28.64,10.23,7.37,14.91,21.42
54.4,4.84,5.01,4,53.45,46.55,0,60,10,70,3,5,25,29.75,24,66.8,8.82,12.94,7.6,87.75,45.29
46.4,2.19,2.17,4,0,0,0,60,10,70,3,5,25,26.5,24,46.44,28.64,10.23,7.37,84.05,53.46
46.4,2.19,2.17,2,0,0,0,22.5,25,55,5.92,23.56,30.58,28.3,72,44.44,2.78,19.44,2.78,89.8,66.26
46.4,2.19,2.17,2,0,0,0,22.5,25,55,5.92,23.56,30.58,28.3,72,36.11,5.56,16.67,2.78,93.32,84.82
46.4,2.19,2.17,2,0,0,0,22.5,25,55,5.92,23.56,30.58,28.3,72,45.71,5.71,14.29,2.86,87.84,77.96
42.36,2.67,2.32,2,0,0,0,22.5,25,55,5.92,23.56,30.58,28.3,72,41.67,5.56,16.67,2.78,94.26,83.98
42.36,2.67,2.32,3,0,0,0,30,30,40,3,50,50,23.95,72,33.46,28.11,1.34,3.11,67.5,44.39
43.99,2.7,2.69,3,0,0,0,30,30,40,3,50,50,23.95,72,39.04,11.8,1.15,5.88,89.11,60.77
43.99,2.7,2.69,4,0,0,0,25,50,70,0.5,41.33,44.22,25,72,42.87,4.95,1.46,31.28,98.82,3.98
43.99,2.7,2.69,4,0,0,0,25,50,70,1,41.33,44.24,25,72,42.87,4.95,1.46,31.28,99.7,15.41
43.99,2.7,2.69,4,0,0,0,25,50,70,3,41.33,41.79,25,72,51.88,2.48,18.56,4.82,99.63,20.48
43.6,2.71,2.7,4,0,0,0,25,50,70,5,41.33,42.45,25,72,30.26,0.54,17.08,6.8,98.93,32.64
43.6,2.71,2.7,3,0,0,0,20,20,40,4.17,18,36,23.95,48,16,42.04,27.44,2.72,90,85
43.6,2.71,2.7,3,0,0,0,20,20,40,4.46,28,56,23.95,48,62.78,4.26,1.94,13.28,90,85
43.6,2.71,2.7,3,0,0,0,20,20,40,4.46,56,112,23.95,48,62.78,4.26,1.94,13.28,90,85
43.6,2.71,2.7,15,0,0,0,35,60,70,2.91,21.44,33.16,23.95,120,62.78,4.26,1.94,13.28,56.74,59.13
43.6,2.71,2.7,15,0,0,0,35,60,70,5.33,22.07,34.62,23.95,120,25.27,9.94,12.94,5.97,52.39,54.29
43.6,2.71,2.7,15,0,0,0,35,60,70,8.35,21.59,34.57,23.95,120,46.22,18.18,23.67,10.92,49.32,61.9
43.6,2.71,2.7,15,0,0,0,35,60,70,2.91,21.44,33.16,23.95,120,72.39,28.48,37.07,17.1,87.39,75.76
43.6,2.71,2.7,15,0,0,0,35,60,70,5.33,22.07,34.62,23.95,120,25.27,9.94,12.94,5.97,85.52,75.23
43.6,2.71,2.7,15,0,0,0,35,60,70,8.35,21.59,34.57,23.95,120,46.22,18.18,23.67,10.92,84.66,78.02
45.47,2.36,2.35,15,0,0,0,35,60,70,3.06,10.6,18.4,23.95,120,43,31,6.3,2,79.24,85.1
44.59,2.71,2.7,15,0,0,0,35,60,70,3.06,10.6,18.4,23.95,120,15.77,11.37,2.31,0.73,67.34,73.41
43.6,2.71,2.7,20,0,0,0,35,60,85,1.91,81.79,105,11,24,35.1,0.82,30.63,4.12,84.03,71.05
43.6,2.71,2.7,20,0,0,0,35,60,85,2.27,103.66,130.67,11,24,41.73,0.97,36.42,4.9,82.38,56.38
43.6,2.71,2.7,20,0,0,0,35,60,85,1.33,95.81,137.67,11,24,24.48,0.57,21.37,2.87,76.72,46.01
43.6,2.71,2.7,20,0,0,0,35,60,85,1.37,97.23,130,11,24,25.22,0.59,22.01,2.96,90.89,46.15
43.6,2.71,2.7,20,0,0,0,35,60,85,1.91,81.79,105,11,24,35.1,0.82,30.63,4.12,80.35,72.76
43.6,2.71,2.7,20,0,0,0,35,60,85,2.27,103.66,130.67,11,24,25.22,0.59,22.01,2.96,76.75,60.72
43.6,2.71,2.7,20,0,0,0,35,60,85,1.33,95.81,137.67,11,24,21.21,0.49,18.51,2.49,64.06,46.73
43.6,2.71,2.7,20,0,0,0,35,60,30,1.37,97.23,130,11,24,36.15,0.84,31.55,4.24,85.73,47.31
44.18,3.68,2.65,4,0,0,0,15,10,50,3.2,40,40,25,48,42.7,6.34,0.4,8.83,85.34,41.6
44.18,3.68,2.07,7.5,100,0,0,15,10,50,3.2,40,40,25,48,48.1,6.26,2.2,8.78,69.45,69.7
44.18,3.68,4.09,6.5,33.7,66.7,0,15,10,50,3.2,40,40,25,48,65.6,6.26,15.5,8.83,91.94,91.6
44.18,3.68,5.01,6,53.45,46.55,0,25,30,46,1.45,0,62.19,26.5,48,33.51,6.34,1.17,29.25,71.76,24.14
43.6,2.71,2.7,7.5,0,0,0,30,20,70,3.48,3.25,20.45,25,96,43.5,6.34,0.03,21.86,83,75.81
44.6,3.48,3.59,5.25,0,0,0,30,20,70,3.48,3.25,20.45,25,96,48.05,6.26,0.01,18.63,88.91,88.59
47,3.25,3.3,5,0,0.95,0,17.79,10,35.5,2.29,20,24,24,78,46.9,6.3,11.99,9.22,92.04,88
47,3.25,3.3,5,0,0.95,0,17.79,10,35.5,2.92,20,24,24,78,46.9,6.3,11.99,9.22,91.87,91.7
47,3.25,3.3,5,0,0.95,0,17.79,10,35.5,3.75,20,24,24,78,46.9,6.3,11.99,9.22,90.88,90.2
63,2.71,2.7,5,0,5.2,0,17.79,10,35.5,2.29,20,24,24,78,43.9,6.3,11.99,9.22,92.9,90
63,2.71,2.7,5,0,5.2,0,17.79,10,35.5,2.92,20,24,24,78,43.9,6.3,11.99,9.22,94.01,92.7
63,2.71,2.7,5,0,5.2,0,17.79,10,35.5,3.75,20,24,24,78,43.9,6.3,11.99,9.22,95.3,85.5
17.5,2.8,2.65,1.5,0,0,0,40,10,35,0,0,30,25,48,61.63,2.57,1.96,8.25,0,6.69
3,2.07,2.07,1.5,100,0,0,40,10,35,0,0,30,25,48,65.02,1.54,1.05,3.41,0,88.06
39.17,3.46,3.54,1.5,50,38.9,0,40,10,35,0,0,30,25,48,70.21,1.31,1.21,2.48,0,78.36
46.39,3.92,4.03,1.5,47.47,52.53,0,40,10,35,0,0,30,25,48,38.95,11.37,21.18,3.56,0,96.12
31.95,2.99,3.05,1.5,73.33,26.67,0,40,10,35,0,0,30,25,48,69.27,1.58,1.08,2.62,0,87.03
40.96,2.65,2.65,7.14,0,0,0,32.5,20,65,0.81,0,6.53,24,48,66.48,2.09,2.24,9.53,0,78.87
54.4,4.84,5.01,4.47,53.45,46.55,0,32.5,20,65,0.81,0,6.53,24,48,66.41,1.12,1.19,10.88,0,90.05
40.96,2.65,2.65,15,0,0,0,20,30,40,2.36,64.27,64.27,25,72,87.51,22.24,1.29,3.99,88.01,49.77
50.28,2.82,2.85,9,33.3,23.33,0,20,30,40,2.36,64.27,64.27,25,72,57.19,11.4,0.71,5.5,89.17,87.51
43.6,2.71,2.7,15,0,0,0,30,40,60,0,0,12.4,25,72,54,6.3,16.13,8.6,0,20.97
43.6,2.71,2.7,15,50,0,0,30,40,60,0,0,12.4,25,72,37.5,6.3,21.79,15.38,0,95.97
40.96,2.65,2.65,125,43.6,2.7,0,10,14,25,1.65,0.1,10.49,25,24,35.38,6.3,17.37,8.84,0,47.76
40.96,2.65,2.65,125,43.6,2.7,0,10,14,25,7.12,0.13,2.97,25,24,36.38,6.3,16.37,8.84,0,85.58
40.96,2.65,2.65,125,43.6,2.7,0,10,14,25,8.52,0.38,1.92,25,24,37.38,6.3,15.37,8.84,0,90.56
43.65,3.09,3.12,100,45.57,3.16,0,10,14,25,1.57,0.14,11.14,25,24,35.57,6.3,15.07,7.28,0,44.47
43.65,3.09,3.12,100,45.57,3.16,0,10,14,25,4.71,0.14,4.39,25,24,36.57,6.3,14.07,7.28,0,78.64
43.65,3.09,3.12,100,45.57,3.16,0,10,14,25,12.65,0.2,1.32,25,24,37.57,6.3,13.07,7.28,0,93.49
49,3.78,3.86,3.5,26.73,23.28,0,30,30,40,4.6,38.4,38.4,25,72,58.92,2.43,9.86,9.72,51.73,51.73
43.94,2.7,2.69,4,0,0,0,25,20,35,3,8,20,25.02,72,50.87,5.2,10.7,13.26,65.12,30.14
43.94,2.7,2.69,4,0,0,0,25,20,35,3,8,20,13.54,72,50.87,5.2,10.7,13.26,46.15,49.5
43.94,2.7,2.69,4,0,0,0,25,20,35,3,8,20,7.41,72,50.87,5.2,10.7,13.26,98.9,39.36
48,2.19,2.17,11.5,0,0,0,30,30,54,5.92,23.56,30.58,28.3,72,29.33,2.56,4.13,22.62,65.34,50.14
