porosity£¨%£©,ED£¨gm/cc£©,LD£¨g/cm3£©,AOP£¨mm£©,S(%),Fe(%),Mn(%),FSP(cm),FT(cm),high(cm),C/N,NH3-Ninf(mg/L),TNinf(mg/L),T(¡æ),HRT£¨h£©,P£¨%£©,F£¨%£©,A£¨%£©,B£¨%£©,NH3-Nre(%),TNre(%)
45.6,4.24,4.47,15.41,0,8.98,24.12,20,20,55,1.7,31.9,31.9,25,12,52.31,4.79,14.72,4.94,40.21,27.03
45.6,4.24,4.47,15.41,0,8.98,24.12,20,20,55,0,30.9,30.9,25,8,52.31,4.79,14.72,4.94,27.77,25.62
45.6,4.24,4.47,15.41,0,8.98,24.12,20,20,55,1.7,33.6,33.6,25,12,52.31,4.79,14.72,4.94,14.81,13.6
45.6,4.24,4.47,15.41,0,8.98,24.12,20,20,55,5,32.8,32.8,25,12,52.31,4.79,14.72,4.94,35.71,26.65
45.6,4.24,4.47,15.41,0,8.98,24.12,20,20,55,10,33,33,25,12,52.31,4.79,14.72,4.94,43.24,29.75
45.6,4.24,4.47,15.41,0,8.98,24.12,20,20,55,1.7,31.1,31.1,25,12,52.31,4.79,14.72,4.94,56.06,38.92
45.6,4.24,4.47,15.41,0,8.98,24.12,20,20,55,1.7,31.8,47.4,25,36,52.31,4.79,14.72,4.94,39.94,49.26
45.6,4.24,4.47,15.41,0,8.98,24.12,20,20,55,1.7,31,46.6,25,24,52.31,4.79,14.72,4.94,26.05,44.34
45.6,4.24,4.47,15.41,0,8.98,24.12,20,20,55,1.7,32.1,47.7,25,12,52.31,4.79,14.72,4.94,22.24,39.04
45.6,4.24,4.47,15.41,0,8.98,24.12,20,20,55,1.7,30.6,46.2,25,8,52.31,4.79,14.72,4.94,20.24,26.15
45.3,2.67,2.64,2,0,0,0,22.5,15,50,3,8,20,22,72,35.65,9.89,6.49,20.74,35.06,71.06
45.6,4.24,4.47,2,0,0,19.65,22.5,15,50,3,8,20,22,72,50.46,1.21,6.01,16.35,73.83,76.76
45.45,3.45,3.56,15.41,0,0,9.83,850,900,1500,86.26,33.7,33.7,25,72,48.52,4.15,21.33,5.57,97.83,97.83
45.45,3.45,3.56,15.41,0,0,9.83,850,900,1500,57.84,115.99,115.99,25,72,42.49,5.62,27.36,7.75,99.08,99.08
45.45,3.45,3.56,15.41,0,0,9.83,850,900,1500,78.44,28.08,28.08,25,72,42.79,8.58,27.06,10.9,98.87,98.87
45.3,2.67,2.64,15.41,0,0,0,850,900,1500,86.26,33.7,33.7,25,72,36.13,6.03,33.42,4.87,96.8,96.8
45.3,2.67,2.64,15.41,0,0,0,850,900,1500,57.84,115.99,115.99,25,72,34.54,6.3,35.01,10.13,71.9,71.9
45.3,2.67,2.64,15.41,0,0,0,850,900,1500,78.44,28.08,28.08,25,72,46.09,7.84,23.46,8.81,60.1,60.1
54.4,4.84,5.01,15,53.45,46.55,0,40,35,65,0,0,12.4,25,174.6,42.75,6.3,6.13,8.01,0,62.5
43.6,2.71,2.7,65,0,0,0.46,37.5,45,60,0,2.36,11.72,28,48,24.91,12.15,16.59,2.29,85.84,14.39
43.6,2.71,2.7,65,0,0,0.46,37.5,45,60,0,2.82,11.67,15,48,39.05,22.9,2.45,7.69,91.21,0
43.6,2.71,2.7,65,0,0,0.46,37.5,45,60,0,1.58,14.68,11,72,24.91,12.15,16.59,2.29,93.65,17.09
43.6,2.71,2.7,65,0,0,0.46,37.5,45,60,0,1.71,16.04,25,72,39.05,22.9,2.45,7.69,85.46,54.81
44.18,3.68,3,6.5,50,48.5,0,37.5,45,60,0,2.36,11.72,28,48,18.6,14.75,14.3,1.85,95,59.73
44.18,3.68,3,6.5,50,48.5,0,37.5,45,60,0,2.82,11.67,15,48,28.91,37.48,9.07,3.39,91.21,36.59
44.18,3.68,3,6.5,50,48.5,0,37.5,45,60,0,1.58,14.68,11,72,40.73,8.16,15.52,4,81.27,37.38
44.18,3.68,3,6.5,50,48.5,0,37.5,45,60,0,1.71,16.04,25,72,68.54,3.36,5.71,5.98,85.83,70.98
43.6,2.71,2.7,65,0,0,0.46,37.5,45,60,0,2.36,11.72,28,48,46.11,2.32,18.6,7.39,93.92,40.06
43.6,2.71,2.7,65,0,0,0.46,37.5,45,60,0,2.82,11.67,15,48,44.43,4.77,18.91,7.52,94.78,6.49
43.6,2.71,2.7,65,0,0,0.46,37.5,45,60,0,1.58,14.68,11,72,46.11,2.32,18.6,7.39,94.21,13.14
43.6,2.71,2.7,65,0,0,0.46,37.5,45,60,0,1.71,16.04,25,72,44.43,4.77,18.91,7.52,93.46,46.25
44.18,3.68,3,6.5,50,48.5,0,37.5,45,60,0,2.36,11.72,28,48,39.52,13.23,13.51,7.08,94.1,57.2
44.18,3.68,3,6.5,50,48.5,0,37.5,45,60,0,2.82,11.67,15,48,37.2,22.74,20.45,4.6,97.72,18.99
44.18,3.68,3,6.5,50,48.5,0,37.5,45,60,0,1.58,14.68,11,72,42.11,2.32,21.06,4.46,95.2,24.05
44.18,3.68,3,6.5,50,48.5,0,37.5,45,60,0,1.71,16.04,25,72,72.54,2.78,4,11.08,96.31,72.89
54.4,4.84,5.01,2,53.45,46.55,0,20,40,40,0,0,29,28,23,52.93,5.08,4.54,10.56,0,51.6
54.4,4.84,5.01,2,53.45,46.55,0,20,40,40,0,0,29,28,11,52.93,5.08,4.54,10.56,0,10.01
54.4,4.84,5.01,2,53.45,46.55,0,20,40,40,0,0,29,28,5,52.93,5.08,4.54,10.56,0,9.05
54.4,4.84,5.01,2,53.45,46.55,0,20,40,40,0,0,29,28,23,52.93,5.08,4.54,10.56,0,71.17
54.4,4.84,5.01,2,53.45,46.55,0,20,40,40,0,0,29,28,11,52.93,5.08,4.54,10.56,0,18.32
44.18,2.71,2.7,15.41,0,0,0.46,30,60,60,2.56,8.27,21.16,22,24,26.14,8.79,11.27,5.46,44.36,7.39
43.6,2.71,2.7,15.41,0,0,0.46,30,60,60,2.56,8.27,21.16,22,48,26.14,8.79,11.27,5.46,47.54,22.05
43.6,2.71,2.7,15.41,0,0,0.46,30,60,60,2.56,8.27,21.16,22,72,26.14,8.79,11.27,5.46,57.61,43.06
43.6,2.71,2.7,15.41,0,0,0.46,30,60,60,2.56,8.27,21.16,22,96,26.14,8.79,11.27,5.46,54.43,63.65
46.4,2.19,2.17,6,0,0,0,32.5,55,600,0.45,4.91,10.81,28,48,38.71,2.37,14,26.12,95.36,49.58
46.4,2.19,2.17,6,0,0,0,32.5,55,600,0.45,4.91,10.81,28,48,38.71,2.37,14,26.12,93.93,41.58
46.4,2.19,2.17,6,0,0,0,32.5,55,600,0.45,4.91,10.81,28,32,38.71,2.37,14,26.12,94.5,36.62
46.4,2.19,2.17,6,0,0,0,32.5,55,600,0.45,4.91,10.81,28,32,38.71,2.37,14,26.12,92.11,32.45
46.4,2.19,2.17,6,0,0,0,22.5,15,600,0.45,4.91,10.81,28,10,38.71,2.37,14,26.12,94.31,30.63
11.25,2.96,3.02,4.5,50,19,0,0,15,600,0.45,4.91,10.81,28,48,79.88,2.99,2.91,7.22,95.27,96.94
11.25,2.96,3.02,4.5,50,19,0,22.5,15,600,0.45,4.91,10.81,28,48,79.88,2.99,2.91,7.22,94.11,96.8
11.25,2.96,3.02,4.5,50,19,0,22.5,15,600,0.45,4.91,10.81,28,32,79.88,2.99,2.91,7.22,94.75,94.52
11.25,2.96,3.02,4.5,50,19,0,22.5,15,600,0.45,4.91,10.81,28,32,79.88,2.99,2.91,7.22,91.73,92.06
11.25,2.96,3.02,4.5,50,19,0,22.5,15,600,0.45,4.91,10.81,28,10,79.88,2.99,2.91,7.22,94.82,90.71
54.4,4.84,5.01,15.41,53.45,46.55,0,90.26,127.37,1480,13.32,0.99,1.92,25,168,45.91,2.1,2.46,11.5,60.9,49.2
46.4,2.19,2.17,17.5,0,0,0,30,40,60,2.81,4.32,27.66,22.92,21,48.61,2.22,11.92,5.16,98.45,45.31
46.4,2.19,2.17,17.5,0,0,0,30,40,60,4.1,4.62,27.86,25.03,21,48,3.09,6.19,5.45,97.17,86.1
46.4,2.19,2.17,17.5,0,0,0,30,40,60,7.39,4.47,24.56,27.02,21,60.98,1.03,16.07,5.9,98.31,99.36
39.79,2.16,2.15,6.5,22.86,0,0,22.5,35,45,2,20.81,20.79,22.5,72,29.57,4.11,8.51,14.66,57.07,70.76
39.79,2.16,2.15,6.5,22.86,0,0,22.5,35,45,1,8.15,21.1,22.5,72,29.57,4.11,8.51,14.66,50.17,68.77
39.79,2.16,2.15,6.5,22.86,0,0,22.5,35,45,0.5,8.19,20.52,22.5,72,29.57,4.11,8.51,14.66,53.65,69.62
39.79,2.16,2.15,6.5,22.86,0,0,22.5,35,45,0.5,8.47,21.72,22.5,24,29.57,4.11,8.51,14.66,80.55,82.95
46.4,2.19,2.17,2,0,0,0,22.5,35,45,2,8.5,20.79,22.5,72,15.41,5.94,11.1,13.26,74.73,70.54
46.4,2.19,2.17,2,0,0,0,22.5,35,45,1,8.15,21.1,22.5,72,15.41,5.94,11.1,13.26,65.89,45.7
46.4,2.19,2.17,2,0,0,0,22.5,35,45,0.5,8.19,20.52,22.5,72,15.41,5.94,11.1,13.26,67.86,34.06
46.4,2.19,2.17,2,0,0,0,22.5,35,45,0.5,8.47,21.72,22.5,48,15.41,5.94,11.1,13.26,82.33,39.56
45.6,4.24,4.47,3,0,5.6,14,27.5,45,65,3.6,25,25,22.5,72,22.51,7.41,15.85,10.77,29.15,29.15
54.4,4.84,5.01,3,0,58.4,5.8,27.5,45,65,3.6,25,25,22.5,72,16.81,7.41,15.85,6.03,39.93,39.93
46.4,2.19,2.17,3,0,0,0,27.5,45,65,3.6,25,25,22.5,72,20.13,8.25,18.63,6.76,25.3,25.3
