Porosity（%）,ED（gm/cc）,AOP(mm),S（%）,Fe（%）,Mn（%）,FSP(cm),High(cm),C/N,TNinf(mg/L),T(℃),HRT（h）,P(%),F(%),A(%),B(%),TNre(%)
44.9,2.68,35,50.04,0.11,0,40,70,8.42,39.6,25,110.4,25.27,9.94,12.94,5.97,55.6
45.3,2.67,35,50.27,0,0,40,70,8.42,39.6,25,108,25.27,9.94,12.94,5.97,61.9
59.45,3.34,35,41.52,0,0,30,60,8.42,39.6,25,74.4,79.02,2.16,1.69,1.89,62.3
60.84,3.25,3,41.74,0,0,15,33,3.31,29.1,24.7,24,57.45,2.13,2.13,10.64,94.1
43.74,2.71,3,49.37,0.42,0,15,33,3.31,29.1,24.7,24,46.81,2.13,2.13,12.77,70.86
43.74,2.71,35,49.37,0.42,0,35,70,2.96,24,30,24,41.89,1.9,1.9,11.42,39.2
43.74,2.71,35,49.37,0.42,0,35,70,2.96,24,30,24,41.89,1.9,1.9,11.42,39.6
43.13,2.47,35,52.51,0.93,0,35,70,2.96,24,30,24,66.8,0,12.94,7.6,40.4
43.6,2.71,1.5,49.29,0.46,0,30,55,2.55,39.84,28.3,72,50.82,2.07,1.34,14.48,67.57
45.3,2.67,30,45.92,0.19,0,40,80,8.03,18.92,21.68,60,39.76,3.56,3.04,15.82,57.75
45.29,2.67,12,45.69,0.17,0,22.5,55,3.35,19.65,26,72,39.76,3.56,3.04,15.82,47.56
45.27,2.68,12,45.46,0.15,0,22.5,55,3.35,19.65,26,72,40.67,1.22,1.49,10.36,52.69
43.6,2.71,3,45,0.1,0,50,100,2,25,20.5,48,28.21,8.51,24.61,8.24,80.54
43.6,2.71,3,44.76,0.08,0,18,36,4.18,16.35,25,168,25.27,9.94,12.94,5.97,20.14
54.4,4.84,3,44.53,0.06,0,18,36,4.18,16.35,25,168,66.8,4.95,12.94,7.6,65.7
54.4,4.84,12.5,44.3,0.04,0,35,120,3.69,10,23.95,72,58.99,4.69,12.94,6.71,78.9
54.4,4.84,12.5,53.45,46.55,0,35,120,2.85,19.6,23.95,72,45.59,4.11,12.94,5.19,59.7
45.3,2.67,5.5,0,0,0,45,80,3.08,31.9,24.7,72,23.7,0.4,15,15.7,78.36
45.6,4.24,2,0,0,0,30,60,1.24,40.4,25,120,60.59,1.39,14.58,10.4,78.63
43.6,2.71,2,0,0,0,30,60,1.24,40.4,23.95,120,46.81,2.13,2.13,12.77,88.88
46.12,2.24,20,0,0,0,27.5,60,4.87,82.22,23.95,48,46.81,2.13,2.13,12.77,79.94
46.4,2.19,20,0,0,0,27.5,60,4.87,82.22,23.95,48,46.81,2.13,2.13,12.77,82.67
46.4,2.19,5,0,0,0,10,30,5.86,35.2,23.95,144,36.55,1.73,4.93,6.53,61.31
46.4,2.19,5,0,0,0,10,30,5.86,35.2,23.95,96,31.79,2.55,4.1,8.5,54.36
37.74,2.65,5,0,0,0,10,30,5.86,35.2,23.95,96,32.53,0.92,4.4,5.2,46.95
37.74,2.65,3,0,0,0,10,30,2.31,85.2,18.7,168,53.97,15.85,2.45,1.82,55.96
37.74,2.65,3,0,0,0,10,30,4.83,86.7,18.7,168,53.97,15.85,2.45,1.82,72.76
37.74,2.65,3,0,0,0,10,30,2.31,85.2,7.2,168,49.55,10.14,5.08,3.34,54.1
37.74,2.65,3,0,0,0,10,30,4.83,86.7,7.2,168,53.97,15.85,2.45,1.82,64.76
54.4,4.84,4,53.45,46.55,0,60,70,3,25,30.5,24,66.8,4.88,0,7.6,39.21
40.96,2.65,4,0,0,0,60,70,3,25,29.75,24,46.44,28.64,10.23,7.37,51.93
54.4,4.84,4,53.45,46.55,0,60,70,3,25,29.75,24,66.8,6.11,12.94,7.6,45.45
40.96,2.65,4,0,0,0,60,70,3,25,26.5,24,46.44,28.64,10.23,7.37,57.46
54.4,4.84,4,53.45,46.55,0,60,70,3,25,30.5,24,66.8,0,12.94,7.6,14.07
40.96,2.65,4,0,0,0,60,70,3,25,29.75,24,46.44,28.64,10.23,7.37,21.42
54.4,4.84,4,53.45,46.55,0,60,70,3,25,29.75,24,66.8,8.82,12.94,7.6,45.29
46.4,2.19,4,0,0,0,60,70,3,25,26.5,24,46.44,28.64,10.23,7.37,53.46
46.4,2.19,2,0,0,0,22.5,55,5.92,30.58,28.3,72,44.44,2.78,19.44,2.78,66.26
46.4,2.19,2,0,0,0,22.5,55,5.92,30.58,28.3,72,36.11,5.56,16.67,2.78,84.82
46.4,2.19,2,0,0,0,22.5,55,5.92,30.58,28.3,72,45.71,5.71,14.29,2.86,77.96
42.36,2.67,2,0,0,0,22.5,55,5.92,30.58,28.3,72,41.67,5.56,16.67,2.78,83.98
42.36,2.67,3,0,0,0,30,40,3,50,23.95,72,33.46,28.11,1.34,3.11,44.39
43.99,2.7,3,0,0,0,30,40,3,50,23.95,72,39.04,11.8,1.15,5.88,60.77
43.99,2.7,4,0,0,0,25,70,3,41.79,25,72,51.88,2.48,18.56,4.82,20.48
43.6,2.71,4,0,0,0,25,70,5,42.45,25,72,30.26,0.54,17.08,6.8,32.64
43.6,2.71,3,0,0,0,20,40,4.17,36,23.95,48,16,42.04,27.44,2.72,85
43.6,2.71,3,0,0,0,20,40,4.46,56,23.95,48,62.78,4.26,1.94,13.28,85
43.6,2.71,3,0,0,0,20,40,4.46,112,23.95,48,62.78,4.26,1.94,13.28,85
43.6,2.71,15,0,0,0,35,70,2.91,33.16,23.95,120,62.78,4.26,1.94,13.28,59.13
43.6,2.71,15,0,0,0,35,70,5.33,34.62,23.95,120,25.27,9.94,12.94,5.97,54.29
43.6,2.71,15,0,0,0,35,70,8.35,34.57,23.95,120,46.22,18.18,23.67,10.92,61.9
43.6,2.71,15,0,0,0,35,70,5.33,34.62,23.95,120,25.27,9.94,12.94,5.97,75.23
43.6,2.71,15,0,0,0,35,70,8.35,34.57,23.95,120,46.22,18.18,23.67,10.92,78.02
45.47,2.36,15,0,0,0,35,70,3.06,18.4,23.95,120,43,31,6.3,2,85.1
44.59,2.71,15,0,0,0,35,70,3.06,18.4,23.95,120,15.77,11.37,2.31,0.73,73.41
43.6,2.71,20,0,0,0,35,85,1.91,105,11,24,35.1,0.82,30.63,4.12,71.05
43.6,2.71,20,0,0,0,35,85,2.27,130.67,11,24,41.73,0.97,36.42,4.9,56.38
43.6,2.71,20,0,0,0,35,85,1.33,137.67,11,24,24.48,0.57,21.37,2.87,46.01
43.6,2.71,20,0,0,0,35,85,1.37,130,11,24,25.22,0.59,22.01,2.96,46.15
43.6,2.71,20,0,0,0,35,85,1.91,105,11,24,35.1,0.82,30.63,4.12,72.76
43.6,2.71,20,0,0,0,35,85,2.27,130.67,11,24,25.22,0.59,22.01,2.96,60.72
43.6,2.71,20,0,0,0,35,85,1.33,137.67,11,24,21.21,0.49,18.51,2.49,46.73
44.18,3.68,4,0,0,0,15,50,3.2,40,25,48,42.7,6.34,0.4,8.83,41.6
44.18,3.68,7.5,100,0,0,15,50,3.2,40,25,48,48.1,6.26,2.2,8.78,69.7
